source,target,weight
health,mental,697
health,with,283
health,problems,135
health,social,131
health,adolescents,111
health,among,99
health,risk,98
health,care,89
health,public,83
health,services,82
health,physical,71
health,disorders,69
health,interventions,65
health,service,63
health,well,62
health,support,61
health,evidence,61
health,depression,54
health,media,53
health,covid,52
health,treatment,51
health,pandemic,50
health,digital,50
health,poor,49
health,school,49
health,sexual,47
health,self,47
health,background,44
health,adult,44
health,adults,44
health,help,44
health,development,43
health,systematic,42
health,symptoms,42
health,experiences,41
health,information,41
health,aged,40
health,survey,36
health,early,36
health,anxiety,36
health,online,36
health,behaviors,35
health,high,35
health,substance,34
health,status,33
health,maltreatment,33
health,adulthood,33
health,bullying,32
health,education,31
health,many,30
mental,with,204
mental,disorders,113
mental,problems,111
mental,adolescents,94
mental,among,81
mental,risk,80
mental,services,65
mental,social,60
mental,care,47
mental,well,47
mental,physical,46
mental,support,46
mental,interventions,46
mental,service,46
mental,pandemic,45
mental,covid,45
mental,evidence,45
mental,symptoms,40
mental,depression,40
mental,help,39
mental,treatment,36
mental,disorder,36
mental,high,35
mental,anxiety,34
mental,poor,34
mental,systematic,32
mental,substance,32
mental,adults,30
mental,digital,30
with,risk,161
with,social,158
with,adolescents,145
with,depression,139
with,among,119
with,disorders,101
with,parents,99
with,self,97
with,support,95
with,problems,88
with,anxiety,88
with,well,88
with,symptoms,85
with,adults,84
with,adult,78
with,sexual,77
with,disorder,71
with,evidence,69
with,development,68
with,early,68
with,asd,68
with,high,65
with,family,64
with,abuse,61
with,both,61
with,one,61
with,behavior,60
with,care,60
with,school,60
with,physical,59
with,life,57
with,emotional,56
with,experiences,55
with,cognitive,55
with,trauma,54
with,interventions,53
with,exposure,53
with,associations,51
with,girls,50
with,behaviors,49
with,aged,48
with,stress,48
with,treatment,48
with,online,46
with,brain,46
with,suicide,46
with,media,46
with,parent,45
with,adulthood,45
with,psychological,44
with,individuals,43
with,peer,43
with,sex,43
with,psychiatric,43
with,pregnancy,43
with,greater,42
with,developmental,42
with,substance,42
with,across,41
with,qualitative,41
with,services,40
with,two,40
with,poor,40
with,education,39
with,clinical,39
with,maltreatment,38
with,behavioral,38
with,depressive,37
with,work,37
with,suicidal,36
with,analyses,35
with,control,35
with,non,35
with,less,35
with,while,34
with,families,33
with,information,33
with,status,32
with,relationships,32
with,survey,32
with,gender,32
with,examine,31
with,longitudinal,31
with,intervention,31
with,ptsd,31
with,background,30
with,three,30
with,characteristics,30
with,first,30
with,justice,30
risk,high,57
risk,social,56
risk,adolescents,53
risk,depression,51
risk,among,43
risk,disorders,41
risk,problems,38
risk,suicide,36
risk,behaviors,35
risk,behavior,34
risk,sexual,30
social,media,146
social,support,73
social,adolescents,59
social,development,51
social,self,49
social,well,48
social,anxiety,45
social,among,41
social,depression,34
social,emotional,33
social,adults,31
social,influence,31
social,peer,31
social,physical,30
adolescents,among,69
adolescents,adults,56
adolescents,depression,39
adolescents,pandemic,36
adolescents,parents,36
adolescents,covid,32
adolescents,behavior,32
adolescents,symptoms,31
depression,anxiety,132
depression,symptoms,61
depression,self,36
depression,disorder,34
depression,treatment,33
depression,stress,30
problems,anxiety,33
anxiety,symptoms,68
anxiety,disorders,58
anxiety,disorder,41
anxiety,depressive,38
anxiety,stress,30
anxiety,self,30
among,aged,35
among,asd,35
among,adults,32
disorders,psychiatric,61
disorders,substance,30
self,symptoms,34
depressive,symptoms,86
symptoms,ptsd,34
symptoms,stress,33
symptoms,disorder,32
sexual,abuse,65
sexual,sex,32
physical,abuse,54
physical,activity,42
disorder,stress,34
evidence,interventions,31
development,early,39
development,brain,38
early,adulthood,44
early,life,30
asd,aged,40
abuse,substance,32
emotion,regulation,65
high,school,39
interventions,effective,38
school,students,40
covid,pandemic,58
help,seeking,56
cognitive,behavioral,31
cognitive,control,30
justice,system,50
analyses,meta,49
meta,systematic,35
stress,parenting,31
intervention,prevention,30
